Interest Area,Enjoys Problem Solving,Good at Math,Likes Reading,Prefers Indoor Work,Comfortable with Public Speaking,Preferred Work Style,Interest in Technology,Creativity Level,Analytical Thinking,Leadership Aspiration,Risk Taking,Job Security Preference,Interest in Helping Others,Recommended Career
Technology,Yes,Yes,No,Yes,Yes,Team-based,High,Medium,Yes,Maybe,High,Not Important,No,Software Developer
Technology,Yes,No,No,Yes,Yes,Hybrid,High,Low,No,No,High,Somewhat,No,Software Developer
Social Work,No,Yes,Yes,No,No,Independent,Low,Low,Yes,Yes,High,Somewhat,No,Consultant
Technology,Yes,Yes,No,Yes,No,Hybrid,Medium,Medium,No,Maybe,High,Not Important,No,Content Writer
Social Work,Yes,Yes,No,No,Yes,Team-based,Medium,High,No,No,Low,Not Important,Yes,Social Worker
Social Work,No,Yes,Yes,No,No,Hybrid,High,Medium,No,Yes,Moderate,Very Important,No,Consultant
Arts,Yes,No,Yes,Yes,No,Team-based,High,High,No,Maybe,High,Somewhat,Yes,Designer
Commerce,No,No,No,No,Yes,Team-based,Low,Low,Yes,Yes,Low,Very Important,No,Business Analyst
Technology,Yes,Yes,No,Yes,Yes,Independent,Medium,High,Yes,Maybe,Low,Not Important,No,Teacher
Social Work,No,Yes,No,Yes,Yes,Independent,Medium,Low,No,No,Low,Very Important,No,Marketing
Commerce,No,Yes,Yes,Yes,Yes,Hybrid,Medium,Low,No,No,High,Not Important,No,Marketing
Commerce,Yes,No,No,No,Yes,Team-based,High,Medium,Yes,Yes,Moderate,Very Important,Yes,Business Analyst
Technology,No,Yes,No,No,No,Independent,High,Low,Yes,No,Low,Very Important,Yes,Software Developer
Technology,Yes,No,No,No,No,Team-based,High,High,No,No,Moderate,Very Important,No,Software Developer
Arts,No,No,Yes,Yes,No,Team-based,Medium,Medium,No,Yes,Moderate,Somewhat,Yes,Teacher
Technology,Yes,No,Yes,No,No,Independent,Low,Medium,Yes,Maybe,High,Not Important,Yes,Consultant
Technology,Yes,No,Yes,No,No,Hybrid,Medium,Low,Yes,Yes,Low,Not Important,Yes,Consultant
Science,No,No,Yes,No,Yes,Independent,Medium,High,Yes,Maybe,Low,Somewhat,No,Consultant
Science,Yes,Yes,Yes,Yes,Yes,Hybrid,High,Medium,No,No,Low,Not Important,No,Marketing
Commerce,No,No,No,No,No,Team-based,Low,High,No,Yes,Moderate,Very Important,No,Business Analyst
Social Work,Yes,Yes,No,Yes,No,Team-based,High,Medium,No,Maybe,Moderate,Not Important,No,Consultant
Technology,No,Yes,Yes,No,Yes,Team-based,Low,Medium,No,No,High,Somewhat,Yes,Marketing
Science,Yes,Yes,Yes,No,No,Team-based,High,High,No,No,Low,Not Important,No,Marketing
Technology,No,No,No,No,Yes,Team-based,Medium,Low,Yes,Maybe,Moderate,Not Important,Yes,Content Writer
Technology,No,Yes,Yes,No,No,Team-based,Low,Medium,Yes,Yes,Low,Not Important,No,Consultant
Social Work,Yes,Yes,Yes,No,Yes,Hybrid,Low,Low,No,Maybe,High,Somewhat,Yes,Social Worker
Technology,No,No,No,No,No,Independent,Medium,High,Yes,Maybe,Low,Not Important,No,Content Writer
Science,No,Yes,Yes,No,Yes,Independent,Medium,High,Yes,Maybe,High,Somewhat,No,Engineer
Commerce,No,No,No,Yes,Yes,Hybrid,High,Low,Yes,Maybe,Moderate,Somewhat,Yes,Content Writer
Commerce,No,Yes,Yes,No,Yes,Team-based,Low,High,No,No,Moderate,Very Important,No,Marketing
Commerce,No,Yes,No,Yes,Yes,Team-based,Medium,Medium,No,No,Moderate,Not Important,Yes,Consultant
Technology,No,No,Yes,No,Yes,Independent,Medium,Medium,No,Maybe,Low,Very Important,Yes,Content Writer
Technology,No,No,No,No,Yes,Independent,Low,Low,No,No,Low,Not Important,Yes,Marketing
Social Work,No,Yes,No,Yes,Yes,Team-based,High,Medium,Yes,Maybe,High,Not Important,No,Content Writer
Commerce,No,No,Yes,Yes,Yes,Hybrid,High,High,Yes,Maybe,Low,Very Important,Yes,Teacher
Social Work,Yes,No,Yes,Yes,Yes,Independent,Medium,Medium,Yes,Maybe,Moderate,Somewhat,No,Content Writer
Arts,Yes,Yes,No,Yes,No,Independent,Medium,High,No,No,High,Somewhat,Yes,Designer
Technology,Yes,No,Yes,No,Yes,Team-based,Low,Medium,Yes,Maybe,Low,Very Important,No,Content Writer
Science,Yes,Yes,Yes,No,No,Team-based,Medium,High,Yes,Yes,Low,Somewhat,No,Engineer
Commerce,No,No,Yes,No,No,Independent,Medium,Low,Yes,Maybe,High,Very Important,No,Consultant
Science,No,No,No,No,Yes,Hybrid,Low,High,No,Maybe,Moderate,Very Important,No,Content Writer
Commerce,Yes,Yes,No,Yes,No,Hybrid,Medium,High,No,No,High,Not Important,No,Marketing
Commerce,Yes,Yes,Yes,Yes,No,Independent,High,Low,No,No,Low,Somewhat,Yes,Teacher
Arts,Yes,No,Yes,No,Yes,Team-based,Low,Low,No,Maybe,Low,Very Important,Yes,Teacher
Science,Yes,No,Yes,No,Yes,Team-based,Low,Low,Yes,Yes,High,Not Important,Yes,Content Writer
Science,No,Yes,Yes,Yes,Yes,Independent,Low,Low,Yes,Yes,High,Somewhat,No,Engineer
Technology,No,Yes,Yes,No,Yes,Team-based,Low,High,No,Yes,High,Somewhat,Yes,Consultant
Commerce,No,Yes,No,Yes,Yes,Team-based,High,Low,No,Yes,High,Somewhat,Yes,Business Analyst
Science,Yes,Yes,Yes,No,No,Hybrid,Medium,Low,Yes,Yes,High,Not Important,No,Engineer
Social Work,No,No,Yes,Yes,Yes,Hybrid,High,Low,No,Maybe,High,Not Important,No,Content Writer
Technology,Yes,Yes,Yes,Yes,Yes,Hybrid,Medium,Low,Yes,No,Low,Not Important,Yes,Content Writer
Science,Yes,Yes,Yes,No,No,Team-based,High,Low,Yes,Yes,Low,Somewhat,No,Engineer
Commerce,No,No,No,No,Yes,Team-based,Low,High,Yes,Yes,High,Somewhat,Yes,Business Analyst
Science,Yes,No,No,No,Yes,Hybrid,Low,Medium,Yes,Yes,Moderate,Very Important,Yes,Marketing
Technology,Yes,No,Yes,Yes,No,Hybrid,Medium,High,No,Yes,High,Not Important,No,Marketing
Technology,No,Yes,No,Yes,No,Independent,High,Medium,Yes,Yes,Low,Not Important,Yes,Software Developer
Arts,Yes,Yes,No,No,No,Team-based,Medium,High,No,Maybe,High,Not Important,Yes,Designer
Social Work,Yes,Yes,No,No,Yes,Hybrid,Medium,Medium,No,Yes,Low,Somewhat,Yes,Social Worker
Commerce,No,No,Yes,Yes,Yes,Independent,High,High,No,Maybe,Low,Very Important,No,Consultant
Technology,Yes,No,No,Yes,Yes,Hybrid,High,Low,No,Yes,High,Somewhat,No,Software Developer
Commerce,Yes,Yes,No,No,Yes,Hybrid,Medium,Low,Yes,No,Moderate,Very Important,No,Marketing
Arts,No,Yes,Yes,No,No,Hybrid,High,Medium,No,No,Low,Not Important,Yes,Teacher
Social Work,No,Yes,No,Yes,Yes,Independent,Medium,Medium,Yes,No,Moderate,Very Important,Yes,Social Worker
Social Work,Yes,Yes,No,Yes,Yes,Hybrid,Medium,Low,Yes,Maybe,High,Somewhat,No,Content Writer
Social Work,No,No,Yes,Yes,No,Independent,Medium,Medium,Yes,No,Low,Not Important,No,Consultant
Social Work,No,Yes,Yes,No,Yes,Team-based,Medium,High,No,Yes,High,Very Important,No,Teacher
Commerce,No,Yes,Yes,Yes,No,Independent,Low,Low,Yes,No,Moderate,Somewhat,No,Teacher
Arts,Yes,Yes,Yes,Yes,No,Independent,Low,Medium,No,No,Low,Not Important,No,Consultant
Arts,Yes,No,Yes,No,Yes,Independent,Medium,Medium,Yes,Yes,Moderate,Somewhat,No,Marketing
Social Work,Yes,No,Yes,Yes,Yes,Team-based,High,High,Yes,No,Low,Very Important,No,Content Writer
Arts,Yes,Yes,Yes,No,No,Team-based,Medium,Medium,Yes,Maybe,Moderate,Very Important,Yes,Consultant
Technology,Yes,No,No,Yes,Yes,Hybrid,Low,Low,No,Maybe,Low,Somewhat,No,Content Writer
Social Work,Yes,No,No,Yes,No,Team-based,High,Low,Yes,No,High,Somewhat,Yes,Social Worker
Technology,No,Yes,No,Yes,Yes,Hybrid,Low,High,No,Yes,High,Very Important,No,Teacher
Social Work,No,Yes,No,No,Yes,Hybrid,Medium,Medium,Yes,Maybe,Moderate,Somewhat,No,Content Writer
Science,No,No,No,No,No,Hybrid,High,High,No,Maybe,Moderate,Somewhat,No,Marketing
Technology,No,Yes,Yes,Yes,Yes,Independent,Medium,Low,No,Yes,Low,Somewhat,Yes,Teacher
Technology,No,No,Yes,No,Yes,Team-based,High,Medium,No,Maybe,Moderate,Very Important,No,Software Developer
Social Work,No,No,No,Yes,Yes,Team-based,High,Medium,No,Maybe,Low,Somewhat,Yes,Social Worker
Arts,No,Yes,No,Yes,Yes,Team-based,Medium,Medium,Yes,Maybe,Low,Somewhat,No,Consultant
Arts,No,Yes,No,Yes,No,Team-based,Low,High,Yes,No,Moderate,Not Important,Yes,Designer
Arts,Yes,Yes,No,No,No,Hybrid,Medium,High,No,No,Low,Not Important,Yes,Designer
Social Work,Yes,Yes,Yes,Yes,No,Independent,Low,Medium,No,Maybe,Low,Not Important,No,Teacher
Social Work,No,Yes,Yes,Yes,No,Independent,Medium,Medium,No,Yes,High,Very Important,Yes,Social Worker
Social Work,Yes,Yes,Yes,No,No,Team-based,High,High,Yes,No,Moderate,Somewhat,No,Marketing
Technology,No,Yes,No,Yes,Yes,Team-based,High,Low,Yes,Maybe,High,Somewhat,Yes,Software Developer
Commerce,Yes,Yes,No,Yes,Yes,Team-based,Medium,Medium,Yes,Yes,High,Very Important,Yes,Business Analyst
Technology,Yes,No,Yes,Yes,No,Hybrid,High,High,Yes,Maybe,High,Not Important,Yes,Software Developer
Commerce,No,Yes,Yes,Yes,No,Hybrid,Medium,Medium,Yes,Maybe,Low,Not Important,Yes,Teacher
Science,Yes,Yes,Yes,No,Yes,Hybrid,High,Low,Yes,Yes,Low,Not Important,No,Engineer
Arts,Yes,No,Yes,Yes,No,Independent,Medium,High,Yes,No,High,Somewhat,Yes,Designer
Technology,Yes,Yes,No,No,No,Hybrid,Low,High,Yes,No,Moderate,Very Important,No,Content Writer
Technology,No,No,Yes,No,No,Independent,High,High,No,Maybe,Moderate,Very Important,Yes,Software Developer
Technology,Yes,No,No,Yes,Yes,Team-based,Medium,Medium,Yes,Maybe,High,Very Important,No,Marketing
Arts,Yes,No,Yes,Yes,No,Hybrid,Medium,Medium,No,Maybe,Moderate,Somewhat,No,Consultant
Technology,No,Yes,No,Yes,Yes,Independent,Medium,Medium,Yes,Maybe,High,Very Important,Yes,Teacher
Science,No,Yes,Yes,No,No,Team-based,Medium,Low,Yes,Yes,Low,Not Important,No,Engineer
Technology,Yes,No,No,No,No,Hybrid,Medium,Low,Yes,Yes,Moderate,Very Important,No,Consultant
Arts,No,No,No,Yes,Yes,Team-based,Low,Low,No,Maybe,High,Somewhat,No,Marketing
Arts,No,No,Yes,No,No,Independent,Low,High,Yes,No,Moderate,Somewhat,No,Designer
Social Work,No,No,No,Yes,Yes,Hybrid,High,High,No,No,Low,Not Important,Yes,Social Worker
Arts,No,Yes,No,No,No,Independent,Medium,High,Yes,Yes,High,Not Important,No,Designer
Social Work,Yes,Yes,No,Yes,No,Team-based,High,Low,No,Yes,Moderate,Not Important,No,Consultant
Arts,Yes,No,Yes,No,No,Hybrid,Medium,Medium,Yes,No,High,Not Important,Yes,Content Writer
Technology,No,Yes,No,No,No,Team-based,Medium,Low,Yes,Maybe,High,Somewhat,No,Teacher
Arts,No,Yes,Yes,Yes,No,Independent,High,Low,No,No,High,Somewhat,Yes,Content Writer
Social Work,No,No,No,Yes,No,Independent,Medium,Low,No,Maybe,Low,Very Important,Yes,Social Worker
Social Work,Yes,No,Yes,No,No,Hybrid,Low,Low,No,Maybe,Low,Not Important,Yes,Social Worker
Social Work,Yes,No,No,Yes,Yes,Team-based,Low,Low,No,No,Moderate,Somewhat,Yes,Social Worker
Commerce,No,No,No,Yes,No,Hybrid,Low,High,No,Yes,High,Very Important,Yes,Business Analyst
Science,Yes,No,No,No,No,Independent,Low,High,Yes,Yes,Moderate,Very Important,Yes,Content Writer
Arts,Yes,Yes,No,Yes,Yes,Team-based,Medium,Low,No,Yes,Moderate,Somewhat,Yes,Consultant
Commerce,Yes,Yes,Yes,No,No,Team-based,High,Low,Yes,No,Moderate,Not Important,No,Marketing
Technology,Yes,Yes,Yes,Yes,Yes,Independent,Medium,Medium,No,Maybe,High,Somewhat,No,Teacher
Arts,No,No,Yes,No,Yes,Independent,Medium,Low,No,No,High,Not Important,Yes,Teacher
Commerce,No,No,No,No,Yes,Hybrid,High,Medium,No,Yes,Moderate,Somewhat,No,Business Analyst
Science,Yes,No,Yes,Yes,No,Hybrid,Medium,Low,No,Yes,Moderate,Very Important,No,Consultant
Technology,No,No,Yes,Yes,No,Hybrid,High,Medium,No,Maybe,Low,Not Important,No,Software Developer
Technology,Yes,Yes,Yes,No,Yes,Team-based,Medium,High,No,No,Low,Very Important,Yes,Marketing
Commerce,Yes,No,No,No,No,Hybrid,High,Medium,Yes,Maybe,Low,Somewhat,No,Marketing
Science,No,No,Yes,No,No,Hybrid,High,High,Yes,Maybe,Low,Not Important,Yes,Teacher
Technology,Yes,No,Yes,Yes,No,Hybrid,Medium,Low,No,Yes,High,Somewhat,Yes,Teacher
Science,No,No,No,Yes,Yes,Hybrid,High,High,No,No,Low,Somewhat,No,Marketing
Technology,Yes,Yes,No,Yes,No,Team-based,Medium,High,Yes,No,Moderate,Very Important,No,Marketing
Arts,No,Yes,Yes,No,Yes,Independent,Low,Medium,Yes,Maybe,Moderate,Not Important,No,Content Writer
Science,Yes,Yes,Yes,No,Yes,Independent,Medium,Low,Yes,Yes,Moderate,Not Important,No,Engineer
Arts,No,No,Yes,Yes,Yes,Independent,High,Low,No,No,Moderate,Very Important,Yes,Content Writer
Social Work,No,Yes,No,Yes,No,Team-based,High,Medium,No,Maybe,Moderate,Somewhat,No,Content Writer
Social Work,No,No,No,Yes,No,Hybrid,Medium,High,No,Yes,High,Very Important,Yes,Social Worker
Commerce,Yes,Yes,No,No,Yes,Hybrid,Medium,Medium,Yes,No,High,Somewhat,No,Consultant
Technology,No,Yes,Yes,Yes,No,Team-based,High,Medium,Yes,Yes,Low,Not Important,No,Software Developer
Social Work,Yes,Yes,Yes,No,Yes,Team-based,Medium,Low,Yes,No,High,Somewhat,Yes,Social Worker
Technology,No,Yes,No,Yes,Yes,Team-based,Medium,Low,No,No,Low,Somewhat,Yes,Content Writer
Science,No,No,Yes,Yes,Yes,Hybrid,Medium,Medium,Yes,Maybe,High,Not Important,No,Teacher
Technology,No,Yes,Yes,No,Yes,Team-based,High,High,No,No,Moderate,Not Important,Yes,Software Developer
Science,No,No,No,No,Yes,Independent,Low,High,No,Maybe,High,Somewhat,No,Consultant
Technology,No,No,Yes,No,No,Hybrid,High,Medium,No,Yes,High,Not Important,No,Software Developer
Technology,Yes,Yes,No,Yes,No,Independent,Medium,High,No,No,High,Very Important,No,Marketing
Social Work,No,No,Yes,Yes,Yes,Hybrid,High,Low,No,No,High,Somewhat,No,Content Writer
Arts,Yes,Yes,Yes,No,Yes,Team-based,Medium,High,Yes,No,Low,Somewhat,No,Designer
Social Work,No,No,No,No,Yes,Team-based,High,High,No,Maybe,High,Somewhat,Yes,Social Worker
Science,No,Yes,Yes,Yes,No,Independent,Low,Medium,No,No,Low,Not Important,No,Consultant
Arts,Yes,Yes,Yes,Yes,Yes,Team-based,High,Low,Yes,Yes,High,Somewhat,Yes,Marketing
Technology,Yes,Yes,No,No,Yes,Independent,Medium,High,Yes,Yes,High,Not Important,No,Consultant
Technology,Yes,No,Yes,Yes,No,Hybrid,Medium,High,No,Yes,High,Not Important,No,Consultant
Technology,No,Yes,No,No,No,Hybrid,Low,Low,No,Yes,Low,Very Important,Yes,Consultant
Social Work,No,Yes,No,No,No,Team-based,Medium,Low,No,No,Low,Somewhat,Yes,Social Worker
Commerce,No,Yes,No,No,No,Team-based,Low,High,No,Maybe,Low,Not Important,No,Marketing
Arts,No,No,No,No,Yes,Hybrid,High,Medium,Yes,Maybe,Moderate,Very Important,Yes,Marketing
Commerce,No,Yes,No,No,No,Team-based,High,Low,Yes,Yes,Moderate,Somewhat,No,Business Analyst
Commerce,Yes,Yes,Yes,No,No,Team-based,Low,High,Yes,Maybe,High,Somewhat,No,Content Writer
Arts,Yes,No,Yes,Yes,Yes,Independent,Medium,High,Yes,Maybe,Low,Very Important,Yes,Designer
Social Work,Yes,Yes,Yes,Yes,No,Team-based,Low,Medium,No,Maybe,Moderate,Not Important,Yes,Social Worker
Commerce,No,No,Yes,Yes,Yes,Independent,Medium,High,Yes,No,Moderate,Somewhat,Yes,Teacher
Arts,No,No,No,Yes,Yes,Hybrid,Medium,High,Yes,No,Moderate,Somewhat,No,Designer
Social Work,No,Yes,No,Yes,Yes,Hybrid,Low,High,Yes,No,Moderate,Somewhat,Yes,Social Worker
Technology,Yes,No,Yes,Yes,Yes,Hybrid,Low,Low,No,No,Moderate,Not Important,No,Content Writer
Arts,Yes,No,Yes,No,No,Hybrid,High,Low,No,Maybe,Moderate,Not Important,No,Marketing
Arts,Yes,Yes,No,No,Yes,Hybrid,Low,Medium,Yes,Yes,Low,Not Important,No,Content Writer
Commerce,Yes,Yes,No,Yes,No,Hybrid,Medium,Low,Yes,Maybe,High,Somewhat,No,Content Writer
Science,Yes,Yes,No,No,Yes,Independent,Medium,High,Yes,No,Moderate,Somewhat,Yes,Engineer
Technology,Yes,Yes,No,Yes,No,Independent,High,High,No,No,High,Very Important,Yes,Software Developer
Technology,Yes,No,Yes,No,Yes,Independent,Low,Low,No,Maybe,Low,Not Important,No,Content Writer
Social Work,No,No,No,No,No,Team-based,High,Low,Yes,No,Low,Somewhat,Yes,Social Worker
Social Work,Yes,Yes,No,No,Yes,Hybrid,High,Low,No,Yes,Low,Somewhat,Yes,Social Worker
Science,No,No,Yes,Yes,Yes,Independent,Medium,Medium,No,No,Moderate,Very Important,Yes,Marketing
Social Work,No,Yes,No,No,Yes,Team-based,Low,Medium,Yes,Yes,Low,Somewhat,Yes,Social Worker
Science,No,No,No,No,No,Independent,Medium,Low,Yes,Yes,Low,Not Important,No,Consultant
Technology,Yes,No,Yes,No,No,Team-based,Medium,Medium,Yes,Maybe,Moderate,Not Important,No,Teacher
Commerce,Yes,No,Yes,Yes,Yes,Hybrid,Low,Low,Yes,Maybe,Low,Very Important,No,Teacher
Science,Yes,Yes,No,Yes,Yes,Hybrid,Low,Medium,Yes,Maybe,Low,Somewhat,No,Engineer
Social Work,Yes,No,Yes,No,No,Team-based,Medium,High,No,No,Moderate,Very Important,Yes,Social Worker
Science,Yes,No,Yes,Yes,No,Team-based,High,Medium,No,Maybe,High,Very Important,No,Marketing
Science,Yes,No,No,Yes,No,Team-based,Medium,Medium,No,No,High,Very Important,Yes,Marketing
Social Work,Yes,No,No,Yes,No,Team-based,Medium,Medium,No,Yes,Moderate,Very Important,No,Marketing
Science,No,Yes,Yes,Yes,No,Hybrid,Medium,Medium,Yes,Maybe,Low,Very Important,Yes,Engineer
Arts,Yes,Yes,No,No,Yes,Team-based,Medium,Low,No,Maybe,High,Very Important,Yes,Consultant
Arts,No,No,No,Yes,No,Team-based,High,Low,Yes,No,High,Somewhat,Yes,Marketing
Social Work,No,No,Yes,No,No,Hybrid,Medium,Low,No,No,High,Not Important,No,Content Writer
Commerce,No,No,Yes,Yes,Yes,Hybrid,Medium,High,Yes,Maybe,High,Somewhat,No,Consultant
Social Work,Yes,Yes,Yes,No,Yes,Independent,Medium,Low,No,No,High,Not Important,Yes,Social Worker
Science,No,No,Yes,No,Yes,Team-based,Low,High,No,Maybe,Low,Somewhat,Yes,Teacher
Social Work,No,Yes,Yes,No,No,Team-based,Medium,Medium,Yes,Yes,High,Not Important,No,Teacher
Arts,No,Yes,Yes,Yes,Yes,Hybrid,High,Low,Yes,Yes,Moderate,Not Important,Yes,Content Writer
Commerce,Yes,No,No,Yes,No,Hybrid,Low,Low,Yes,No,Moderate,Somewhat,No,Teacher
Social Work,No,No,No,Yes,Yes,Team-based,Medium,Medium,No,No,High,Somewhat,Yes,Social Worker
Arts,Yes,Yes,Yes,No,Yes,Team-based,High,High,No,No,High,Not Important,Yes,Designer
Science,No,No,Yes,No,No,Team-based,High,Medium,Yes,No,High,Somewhat,Yes,Teacher
Social Work,No,Yes,No,Yes,Yes,Team-based,High,Medium,No,Maybe,High,Very Important,Yes,Social Worker
Technology,Yes,No,No,Yes,Yes,Hybrid,High,Low,Yes,No,Moderate,Somewhat,Yes,Software Developer
Social Work,No,Yes,Yes,No,No,Independent,Medium,Low,Yes,No,Low,Not Important,Yes,Social Worker
Technology,No,Yes,Yes,Yes,Yes,Hybrid,Low,High,Yes,Maybe,High,Not Important,No,Content Writer
Technology,No,No,Yes,Yes,Yes,Team-based,High,High,No,Maybe,Moderate,Not Important,No,Software Developer
Arts,Yes,Yes,No,No,No,Independent,Medium,High,Yes,Yes,High,Not Important,Yes,Designer
Technology,No,Yes,Yes,Yes,Yes,Independent,High,Low,No,Maybe,Low,Somewhat,No,Software Developer
Social Work,No,No,No,No,Yes,Team-based,Medium,High,No,Yes,High,Not Important,Yes,Social Worker
Commerce,No,Yes,Yes,No,No,Hybrid,Medium,High,No,Yes,High,Somewhat,Yes,Business Analyst
Science,No,Yes,Yes,Yes,No,Independent,High,Low,No,Yes,High,Very Important,Yes,Content Writer
Commerce,Yes,No,Yes,No,Yes,Team-based,High,High,Yes,No,High,Very Important,Yes,Consultant
